PropertyName,Area,Rooms,Price (per thousand pounds),Walking time to the nearest metro station (mins),"Furnishing ( Furnished, Partially Furnished, Not Furnished)",Pet Accepted,Availability,Supermarket Nearby,School Nearby (Y/N),Buy/Rent,Balcony,Size (sqft),No. of toilets,Property Type,Level,Greater London/London,,
Shepgor,Redbridge,Four or more Bedrooms,1500,13,Not furnished,No,12/1/2021,Yes,Yes,Rent,Yes,1367,6,Detached/Landed,Low,Greater London,,
Gallomers,NORTH EAST,Four or more Bedrooms,450,24,Not furnished,No,12/2/2021,No,Yes,Rent,Yes,1443,5,Detached/Landed,Low,Greater London,,
Eatmings,Havering,Four or more Bedrooms,835,18,Furnished,Yes,12/3/2021,Yes,No,Buy,Yes,1352,6,Detached/Landed,Low,Greater London,,
Veeldwu,Greenwich,Four or more Bedrooms,1399,27,Not furnished,No,12/4/2021,Yes,Yes,Buy,No,1389,5,Detached/Landed,Low,London,,
Cherrypond Residence,SOUTH WEST,Four or more Bedrooms,595,7,Not furnished,Yes,12/5/2021,Yes,No,Buy,No,1548,7,Detached/Landed,Low,London,,
Diamond Springs Mansion,Greenwich,Four or more Bedrooms,1325,30,Furnished,No,12/6/2021,No,No,Rent,Yes,1483,7,Detached/Landed,Low,London,,
Noble Oak Chateau,WEST MIDLANDS,Three Bedroom,575,22,Partially Furnished,No,12/7/2021,No,Yes,Rent,Yes,938,1,Detached/Landed,Low,London,,
Bridewater Mansion,Havering,Three Bedroom,950,9,Partially Furnished,Yes,12/8/2021,No,Yes,Rent,Yes,1113,2,Detached/Landed,Low,London,,
Highwood Mansion,EAST MIDLANDS,Four or more Bedrooms,750,22,Not furnished,No,12/9/2021,Yes,No,Rent,No,1367,7,Detached/Landed,Low,London,,
Nicholsay Chateau,Haringey,Three Bedroom,1500,1,Partially Furnished,Yes,12/10/2021,No,Yes,Buy,No,1126,1,Detached/Landed,Low,Greater London,,
Manwens Residence,NORTH WEST,Three Bedroom,575,30,Partially Furnished,Yes,12/11/2021,No,Yes,Buy,Yes,1133,2,Detached/Landed,Low,London,,
Norrett Mansion,Hounslow,Four or more Bedrooms,975,9,Furnished,Yes,12/12/2021,Yes,Yes,Rent,No,1298,4,Detached/Landed,Low,Greater London,,
Colefort Chateau,Lewisham,One Bedroom,775,14,Not furnished,No,12/13/2021,No,No,Buy,No,430,1,Detached/Landed,Low,London,,
Valenherd Chateau,Camden,One Bedroom,585,10,Not furnished,No,12/14/2021,Yes,No,Buy,No,448,1,Detached/Landed,Low,Greater London,,
Forestvale Manor,EAST,One Bedroom,350,11,Furnished,Yes,12/15/2021,No,Yes,Rent,No,679,1,Detached/Landed,Low,London,,
Crystal Lake Chateau,Westminster,Three Bedroom,3077,4,Partially Furnished,Yes,12/16/2021,No,No,Buy,Yes,981,2,Detached/Landed,Low,Greater London,,
Beech Valley Manor,YORKSHIRE AND THE HUMBER,Two Bedroom,450,28,Furnished,Yes,12/17/2021,No,Yes,Buy,No,744,2,Detached/Landed,Low,London,,
Hollylane Chateau,SOUTH EAST,Three Bedroom,850,21,Furnished,Yes,12/18/2021,Yes,Yes,Rent,No,1181,1,Detached/Landed,Low,London,,
Forestvale Chateau,Inner London,Four or more Bedrooms,2383,15,Furnished,Yes,12/19/2021,Yes,No,Rent,Yes,1433,5,Detached/Landed,Low,London,,
Yeatmer Manor,Tower Hamlets,Four or more Bedrooms,2167,8,Not furnished,Yes,12/20/2021,No,Yes,Rent,Yes,1389,6,Detached/Landed,Low,Greater London,,
Frankville Estate,Kingston upon Thames,One Bedroom,390,15,Partially Furnished,No,12/21/2021,Yes,Yes,Buy,No,550,1,Detached/Landed,Low,London,,
Brewdell Manor,Haringey,One Bedroom,953,8,Partially Furnished,No,12/22/2021,No,Yes,Rent,No,664,1,Detached/Landed,Low,London,,
Knapway Mansion,EAST,One Bedroom,490,11,Partially Furnished,No,12/23/2021,No,Yes,Buy,No,652,1,Detached/Landed,Low,London,,
Anderrance Mansion,Tower Hamlets,One Bedroom,459,19,Furnished,Yes,12/24/2021,Yes,No,Rent,No,495,1,Detached/Landed,Low,London,,
Serenity Point Manor,Waltham Forest,Four or more Bedrooms,875,10,Furnished,Yes,12/25/2021,Yes,No,Rent,Yes,1420,5,Detached/Landed,Low,Greater London,,
Summervale Chateau,LONDON,One Bedroom,420,15,Not furnished,Yes,12/26/2021,No,Yes,Rent,No,437,1,Detached/Landed,Low,London,,
Hazelbend Manor,SOUTH EAST,Four or more Bedrooms,725,27,Not furnished,Yes,12/27/2021,No,Yes,Buy,No,1289,5,Detached/Landed,Low,Greater London,,
Humble Hill Mansion,Harrow,Four or more Bedrooms,1750,13,Furnished,Yes,12/28/2021,No,Yes,Rent,Yes,1320,4,Detached/Landed,Low,London,,
Diamond Springs Estate,Hillingdon,Three Bedroom,1179,28,Furnished,Yes,12/29/2021,Yes,No,Rent,No,1129,1,Detached/Landed,Low,Greater London,,
Hubmar Chateau,Islington,Two Bedroom,1603,22,Not furnished,Yes,12/30/2021,No,No,Buy,Yes,786,2,Detached/Landed,Low,Greater London,,
Blangett Residence,LONDON,Three Bedroom,1350,25,Partially Furnished,Yes,12/31/2021,No,No,Rent,Yes,1190,1,Detached/Landed,Low,Greater London,,
Weasend Mansion,Kensington and Chelsea,One Bedroom,625,28,Partially Furnished,No,1/1/2022,Yes,No,Rent,No,603,1,Detached/Landed,Low,London,,
Stonemaker Mansion,Kingston upon Thames,Four or more Bedrooms,1825,9,Partially Furnished,Yes,1/2/2022,Yes,No,Rent,Yes,1305,7,Flat/Appartment,Low,Greater London,,
Hambrandt Estate,Wandsworth,Two Bedroom,1350,3,Furnished,No,1/3/2022,Yes,Yes,Rent,Yes,824,2,Flat/Appartment,Middle,London,,
189 Diamond Crescent,Ealing,Three Bedroom,1300,5,Furnished,No,1/4/2022,Yes,Yes,Buy,Yes,962,1,Flat/Appartment,Middle,London,,
73 St. John's Avenue,SOUTH EAST,Three Bedroom,850,24,Partially Furnished,No,1/5/2022,Yes,No,Rent,Yes,1164,3,Flat/Appartment,Low,London,,
26 Elizabeth Lane,EAST,Two Bedroom,595,23,Not furnished,No,1/6/2022,Yes,Yes,Rent,No,789,2,Flat/Appartment,Low,London,,
61 Grange Manor,SOUTH EAST,Two Bedroom,725,5,Furnished,Yes,1/7/2022,Yes,Yes,Buy,No,736,2,Flat/Appartment,Middle,Greater London,,
76 Grange Road,WEST MIDLANDS,Four or more Bedrooms,825,6,Furnished,No,1/8/2022,Yes,Yes,Buy,Yes,1318,5,Flat/Appartment,High,Greater London,,
93 West Drive,Richmond upon Thames,Three Bedroom,1550,19,Not furnished,Yes,1/9/2022,No,No,Buy,Yes,1098,3,Flat/Appartment,Middle,Greater London,,
91 South Street,Croydon,Four or more Bedrooms,1500,3,Furnished,Yes,1/10/2022,No,Yes,Rent,Yes,1373,5,Flat/Appartment,High,Greater London,,
196 Duchess Manor,NORTH WEST,Three Bedroom,575,21,Not furnished,No,1/11/2022,Yes,Yes,Buy,Yes,996,2,Flat/Appartment,Low,London,,
212 Duchess Street,SOUTH WEST,Three Bedroom,700,14,Furnished,Yes,1/12/2022,No,No,Rent,No,1133,3,Flat/Appartment,Low,London,,
92 St. James Crescent,Bromley,Three Bedroom,1100,26,Partially Furnished,Yes,1/13/2022,Yes,No,Rent,No,1125,3,Flat/Appartment,Low,Greater London,,
184 East Drive,Richmond upon Thames,One Bedroom,975,6,Not furnished,No,1/14/2022,Yes,Yes,Rent,No,400,1,Flat/Appartment,High,London,,
26 Duchess Drive,City of London,Four or more Bedrooms,974,4,Partially Furnished,No,1/15/2022,No,Yes,Rent,Yes,1356,6,Flat/Appartment,High,Greater London,,
24 Victoria Manor,SOUTH WEST,One Bedroom,475,18,Partially Furnished,No,1/16/2022,No,Yes,Buy,Yes,694,1,Flat/Appartment,High,London,,
16 East Street,Enfield,One Bedroom,750,12,Not furnished,No,1/17/2022,No,No,Rent,No,465,1,Flat/Appartment,High,London,,
50 Diamond Street,Merton,One Bedroom,949,17,Not furnished,Yes,1/18/2022,Yes,No,Buy,No,582,1,Flat/Appartment,High,Greater London,,
106 South Street,Hammersmith and Fulham,Two Bedroom,1647,1,Furnished,Yes,1/19/2022,Yes,No,Buy,No,873,2,Flat/Appartment,Middle,London,,
17 South Street,Barnet,Two Bedroom,1170,11,Partially Furnished,Yes,1/20/2022,Yes,No,Rent,Yes,779,2,Flat/Appartment,Low,Greater London,,
9 South Lane,Haringey,Four or more Bedrooms,1950,27,Partially Furnished,No,1/21/2022,Yes,Yes,Buy,Yes,1527,5,Flat/Appartment,High,London,,
11 Victoria Drive,SOUTH EAST,One Bedroom,350,24,Not furnished,Yes,1/22/2022,Yes,Yes,Buy,No,650,1,Flat/Appartment,High,Greater London,,
108 St. John's Lane,Hammersmith and Fulham,Two Bedroom,1495,22,Furnished,Yes,1/23/2022,No,No,Buy,Yes,781,2,Flat/Appartment,Middle,London,,
38 St. John's Drive,Waltham Forest,Four or more Bedrooms,900,14,Not furnished,No,1/24/2022,No,Yes,Rent,Yes,1545,7,Flat/Appartment,Middle,Greater London,,
40 Duchess Avenue,Kingston upon Thames,Two Bedroom,1100,19,Partially Furnished,Yes,1/25/2022,No,Yes,Buy,No,785,2,Flat/Appartment,Middle,Greater London,,
206 South Lane,Ealing,Four or more Bedrooms,1925,21,Partially Furnished,No,1/26/2022,No,No,Rent,No,1228,7,Flat/Appartment,Middle,Greater London,,
142 Duchess Crescent,Enfield,One Bedroom,390,2,Furnished,Yes,1/27/2022,No,No,Rent,Yes,519,1,Flat/Appartment,High,Greater London,,
29 Diamond Drive,Haringey,One Bedroom,997,3,Partially Furnished,No,1/28/2022,Yes,No,Buy,Yes,498,1,Flat/Appartment,Low,Greater London,,
41 St. James Street,Lambeth,Four or more Bedrooms,1200,2,Furnished,Yes,1/29/2022,Yes,Yes,Rent,Yes,1268,6,Flat/Appartment,High,London,,
32 St. James Manor,NORTH WEST,Two Bedroom,495,10,Partially Furnished,No,1/30/2022,Yes,Yes,Rent,No,883,1,Flat/Appartment,Low,London,,
16 St. John's Avenue,Hounslow,Two Bedroom,1050,25,Not furnished,No,1/31/2022,No,Yes,Rent,Yes,746,2,Flat/Appartment,Low,Greater London,,
24 Elizabeth Avenue,Tower Hamlets,Three Bedroom,1733,2,Not furnished,Yes,2/1/2022,No,No,Rent,Yes,961,3,Flat/Appartment,High,Greater London,,
18 Elizabeth Avenue,Richmond upon Thames,One Bedroom,925,2,Partially Furnished,No,2/2/2022,Yes,Yes,Buy,Yes,535,1,Flat/Appartment,High,Greater London,,
63 West Crescent,LONDON,Two Bedroom,1200,27,Not furnished,No,2/3/2022,No,No,Buy,Yes,866,1,Flat/Appartment,Middle,Greater London,,
53 St. John's Lane,Redbridge,One Bedroom,715,6,Partially Furnished,No,2/4/2022,No,Yes,Buy,Yes,487,1,Flat/Appartment,Middle,London,,
144 North Estate,NORTH EAST,One Bedroom,395,25,Not furnished,No,2/5/2022,No,Yes,Rent,No,437,1,Flat/Appartment,Low,London,,
142 North Avenue,Richmond upon Thames,One Bedroom,368,14,Partially Furnished,No,2/6/2022,No,Yes,Rent,No,692,1,Flat/Appartment,Middle,London,,
95 East Manor,Hillingdon,Two Bedroom,950,1,Furnished,Yes,2/7/2022,No,No,Rent,Yes,792,1,Flat/Appartment,Middle,Greater London,,
23 South Street,Barking and Dagenham,One Bedroom,336,26,Not furnished,No,2/8/2022,Yes,Yes,Buy,No,581,1,Flat/Appartment,Low,Greater London,,
126 East Road,Hackney,One Bedroom,446,3,Partially Furnished,No,2/9/2022,Yes,No,Buy,No,473,1,Flat/Appartment,High,Greater London,,
4 St. James Estate,Camden,One Bedroom,575,16,Not furnished,No,2/10/2022,Yes,No,Buy,Yes,536,1,Flat/Appartment,Low,London,,
122 St. James Crescent,Lambeth,One Bedroom,450,9,Partially Furnished,No,2/11/2022,Yes,No,Rent,No,663,1,Flat/Appartment,High,Greater London,,
207 Victoria Drive,LONDON,Two Bedroom,1192,24,Furnished,Yes,2/12/2022,Yes,Yes,Rent,No,809,2,Flat/Appartment,High,Greater London,,
45 St. James Drive,Lambeth,Four or more Bedrooms,1148,7,Furnished,Yes,2/13/2022,No,No,Rent,Yes,1557,4,Flat/Appartment,Middle,London,,
118 Duchess Manor,YORKSHIRE AND THE HUMBER,One Bedroom,286,1,Partially Furnished,Yes,2/14/2022,Yes,Yes,Buy,Yes,514,1,Flat/Appartment,Low,Greater London,,
9 St. John's Crescent,Newham,One Bedroom,800,12,Partially Furnished,Yes,2/15/2022,No,No,Rent,No,443,1,Flat/Appartment,High,Greater London,,
106 St. James Avenue,Southwark,Four or more Bedrooms,1200,3,Not furnished,No,2/16/2022,Yes,Yes,Buy,Yes,1454,4,Flat/Appartment,Low,London,,
197 South Drive,Harrow,One Bedroom,455,12,Partially Furnished,Yes,2/17/2022,Yes,Yes,Buy,No,435,1,Flat/Appartment,Low,Greater London,,
6 Grange Manor,Lewisham,Four or more Bedrooms,1651,18,Furnished,Yes,2/18/2022,No,No,Buy,No,1239,6,Flat/Appartment,Middle,London,,
171 East Crescent,Outer London,Three Bedroom,1225,28,Not furnished,No,2/19/2022,Yes,No,Buy,No,968,1,Flat/Appartment,Low,Greater London,,
31 Elizabeth Drive,EAST MIDLANDS,Four or more Bedrooms,495,7,Not furnished,No,2/20/2022,No,Yes,Buy,Yes,1567,4,Flat/Appartment,Middle,London,,
136 Elizabeth Crescent,Kingston upon Thames,One Bedroom,850,25,Furnished,No,2/21/2022,Yes,Yes,Rent,Yes,619,1,Flat/Appartment,Middle,London,,
123 Elizabeth Street,Camden,One Bedroom,1300,25,Not furnished,Yes,2/22/2022,Yes,No,Rent,No,519,1,Flat/Appartment,Low,London,,
12 North Drive,Lambeth,Three Bedroom,1571,9,Not furnished,Yes,2/23/2022,No,Yes,Buy,No,992,1,Flat/Appartment,Middle,Greater London,,
146 East Avenue,SOUTH WEST,One Bedroom,325,9,Not furnished,No,2/24/2022,Yes,Yes,Buy,No,560,1,Flat/Appartment,Low,Greater London,,
6 South Crescent,Southwark,Three Bedroom,1500,14,Not furnished,Yes,2/25/2022,Yes,Yes,Buy,No,1194,3,Flat/Appartment,Low,Greater London,,
4 West Drive,Croydon,One Bedroom,725,25,Not furnished,Yes,2/26/2022,Yes,No,Buy,No,524,1,Flat/Appartment,High,Greater London,,
44 East Crescent,Barnet,Three Bedroom,1500,2,Furnished,No,2/27/2022,No,No,Rent,Yes,999,2,Flat/Appartment,High,Greater London,,
37 West Avenue,Tower Hamlets,Two Bedroom,1473,25,Furnished,No,2/28/2022,No,Yes,Rent,No,722,2,Flat/Appartment,High,Greater London,,
112 St. James Drive,Bromley,Four or more Bedrooms,875,11,Partially Furnished,No,3/1/2022,Yes,Yes,Rent,Yes,1551,6,Flat/Appartment,Low,Greater London,,
133 St. John's Road,NORTH WEST,One Bedroom,415,22,Not furnished,Yes,3/2/2022,No,Yes,Rent,Yes,446,1,Flat/Appartment,High,Greater London,,
184 West Street,Barking and Dagenham,One Bedroom,665,4,Not furnished,No,3/3/2022,No,No,Rent,No,456,1,Flat/Appartment,Low,London,,
107 South Avenue,City of London,One Bedroom,399,4,Furnished,No,3/4/2022,Yes,Yes,Buy,Yes,556,1,Flat/Appartment,Middle,London,,
136 Diamond Estate,NORTH WEST,One Bedroom,290,14,Partially Furnished,No,3/5/2022,No,No,Buy,Yes,416,1,Flat/Appartment,Low,Greater London,,
10 East Crescent,Ealing,Four or more Bedrooms,1993,13,Not furnished,No,3/6/2022,No,No,Buy,No,1248,7,Flat/Appartment,High,London,,
205 Victoria Manor,SOUTH EAST,Four or more Bedrooms,1400,16,Furnished,Yes,3/7/2022,No,No,Rent,Yes,1303,4,Flat/Appartment,Middle,Greater London,,
211 Diamond Lane,Camden,Four or more Bedrooms,3250,5,Furnished,Yes,3/8/2022,Yes,No,Rent,No,1301,6,Flat/Appartment,Low,London,,
